image_id,split,method,K,visible_in_crop_part_instances,inside_fraction,bbox_patch_recall,bbox_patch_iou,pointing_game,part_patch_recall,any_part_hit,top1_part_hit,top1_nearest_part_distance_patches,visible_part_patches
544,train,vision_cls_attention,16,14,0.6875,0.05,0.04888888888888889,0.0,0.14285714285714285,1.0,0.0,7.164635371042969,14.0
544,train,llm_attention,16,14,0.1875,0.013636363636363636,0.012875536480686695,0.0,0.0,0.0,0.0,7.201999722299356,14.0
544,train,logit_concept,16,14,0.8125,0.05909090909090909,0.05829596412556054,1.0,0.14285714285714285,1.0,1.0,0.11661903789690657,14.0
544,train,attention_logit_fusion,16,14,0.3125,0.022727272727272728,0.021645021645021644,0.0,0.0,0.0,0.0,7.201999722299356,14.0
544,train,random_seed_0,16,14,0.5625,0.04090909090909091,0.039647577092511016,1.0,0.14285714285714285,1.0,1.0,0.44271887242357294,14.0
544,train,random_seed_1,16,14,0.1875,0.013636363636363636,0.012875536480686695,1.0,0.0,0.0,0.0,0.901997782702373,14.0
544,train,random_seed_2,16,14,0.5625,0.04090909090909091,0.039647577092511016,1.0,0.0,0.0,0.0,2.4838679514016038,14.0
544,train,vision_cls_attention,32,14,0.84375,0.12272727272727273,0.12,0.0,0.42857142857142855,1.0,0.0,7.164635371042969,14.0
544,train,llm_attention,32,14,0.28125,0.04090909090909091,0.037037037037037035,0.0,0.07142857142857142,1.0,0.0,7.201999722299356,14.0
544,train,logit_concept,32,14,0.8125,0.11818181818181818,0.11504424778761062,1.0,0.21428571428571427,1.0,1.0,0.11661903789690657,14.0
544,train,attention_logit_fusion,32,14,0.625,0.09090909090909091,0.08620689655172414,0.0,0.14285714285714285,1.0,0.0,7.201999722299356,14.0
544,train,random_seed_0,32,14,0.5,0.07272727272727272,0.06779661016949153,1.0,0.14285714285714285,1.0,1.0,0.44271887242357294,14.0
544,train,random_seed_1,32,14,0.28125,0.04090909090909091,0.037037037037037035,1.0,0.07142857142857142,1.0,0.0,0.901997782702373,14.0
544,train,random_seed_2,32,14,0.4375,0.06363636363636363,0.058823529411764705,1.0,0.0,0.0,0.0,2.4838679514016038,14.0
