model,source,control,metric,target,estimate,ci_low,ci_high,confidence_level,bootstrap_samples,bootstrap_unit,estimand_weighting,n_images,n_evaluable
llava,retained_behavior,prompt_only,teacher_forced_accuracy,all,0.5,0.4703141807161285,0.5297170966496181,0.95,10000,image_id,decision,77,834
llava,retained_behavior,prompt_only,generation_accuracy_all,all,0.46642685851318944,0.4389399876852095,0.49346094041328653,0.95,10000,image_id,decision,77,834
llava,retained_behavior,prompt_only,generation_parse_rate,all,0.9328537170263789,0.9239901515467212,0.941748187292614,0.95,10000,image_id,decision,77,834
llava,retained_behavior,prompt_only,generation_accuracy_parseable,all,0.5,0.47105094466936576,0.5286108077513361,0.95,10000,image_id,decision,77,778
llava,retained_behavior,prompt_only,teacher_forced_accuracy,0,0.019184652278177457,0.007370555716143956,0.03248303364269141,0.95,10000,image_id,decision,75,417
llava,retained_behavior,prompt_only,generation_accuracy_all,0,0.0,0.0,0.0,0.95,10000,image_id,decision,75,417
llava,retained_behavior,prompt_only,generation_parse_rate,0,0.9328537170263789,0.9140271493212669,0.9515011547344111,0.95,10000,image_id,decision,75,417
llava,retained_behavior,prompt_only,generation_accuracy_parseable,0,0.0,0.0,0.0,0.95,10000,image_id,decision,75,389
llava,retained_behavior,prompt_only,teacher_forced_accuracy,1,0.9808153477218226,0.9673659673659674,0.9926470588235294,0.95,10000,image_id,decision,76,417
llava,retained_behavior,prompt_only,generation_accuracy_all,1,0.9328537170263789,0.9126207352684255,0.95260663507109,0.95,10000,image_id,decision,76,417
llava,retained_behavior,prompt_only,generation_parse_rate,1,0.9328537170263789,0.9129411764705883,0.9519230769230769,0.95,10000,image_id,decision,76,417
llava,retained_behavior,prompt_only,generation_accuracy_parseable,1,1.0,1.0,1.0,0.95,10000,image_id,decision,76,389
qwen,retained_behavior,image,teacher_forced_accuracy,all,0.5899280575539568,0.5508474576271186,0.6278240190249703,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,image,generation_accuracy_all,all,0.5167865707434053,0.4710548138465005,0.5633807028775524,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,image,generation_parse_rate,all,0.8848920863309353,0.8337466724083934,0.9305601964358039,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,image,generation_accuracy_parseable,all,0.5840108401084011,0.5446902838592783,0.6246461833986573,0.95,10000,image_id,decision,75,738
qwen,retained_behavior,image,teacher_forced_accuracy,0,0.6402877697841727,0.5912591709980672,0.6895016532829475,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,image,generation_accuracy_all,0,0.5587529976019184,0.49253543838595965,0.6228720624357611,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,image,generation_parse_rate,0,0.8537170263788969,0.7850209763539284,0.9145510807795105,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,image,generation_accuracy_parseable,0,0.6544943820224719,0.600543296130085,0.7047872340425532,0.95,10000,image_id,decision,72,356
qwen,retained_behavior,image,teacher_forced_accuracy,1,0.539568345323741,0.4897947561712612,0.5868570116350276,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,image,generation_accuracy_all,1,0.4748201438848921,0.4205316962545622,0.5273159144893111,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,image,generation_parse_rate,1,0.9160671462829736,0.8704650544104792,0.954653937947494,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,image,generation_accuracy_parseable,1,0.518324607329843,0.4641973671284016,0.5703329627678033,0.95,10000,image_id,decision,74,382
qwen,retained_behavior,image_shuffled,teacher_forced_accuracy,all,0.5155875299760192,0.4809976247030879,0.5498294328642737,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,image_shuffled,generation_accuracy_all,all,0.4628297362110312,0.43059077219810843,0.49540256248022774,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,image_shuffled,generation_parse_rate,all,0.8848920863309353,0.8595636559708629,0.9097387173396675,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,image_shuffled,generation_accuracy_parseable,all,0.5230352303523035,0.48739467898713273,0.557851546214778,0.95,10000,image_id,decision,77,738
qwen,retained_behavior,image_shuffled,teacher_forced_accuracy,0,0.565947242206235,0.5240503286270691,0.6078887837342777,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,image_shuffled,generation_accuracy_all,0,0.5107913669064749,0.4677399293853314,0.5536992840095465,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,image_shuffled,generation_parse_rate,0,0.8657074340527577,0.8345498783454988,0.8960754370697638,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,image_shuffled,generation_accuracy_parseable,0,0.590027700831025,0.5451748003248952,0.6337662337662338,0.95,10000,image_id,decision,74,361
qwen,retained_behavior,image_shuffled,teacher_forced_accuracy,1,0.46522781774580335,0.421304534164211,0.508236267556668,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,image_shuffled,generation_accuracy_all,1,0.4148681055155875,0.3723640819839811,0.4556354916067146,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,image_shuffled,generation_parse_rate,1,0.9040767386091128,0.8708113548838838,0.9343900675024108,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,image_shuffled,generation_accuracy_parseable,1,0.4588859416445623,0.412568306010929,0.5041322314049587,0.95,10000,image_id,decision,76,377
qwen,retained_behavior,opposite_label_image,teacher_forced_accuracy,all,0.46522781774580335,0.4325693552325643,0.49651183024874546,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,opposite_label_image,generation_accuracy_all,all,0.42685851318944845,0.3959565893303142,0.45707457341609287,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,opposite_label_image,generation_parse_rate,all,0.9064748201438849,0.8895485191377477,0.9237290741551483,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,opposite_label_image,generation_accuracy_parseable,all,0.4708994708994709,0.4370768973061799,0.5044138981575511,0.95,10000,image_id,decision,77,756
qwen,retained_behavior,opposite_label_image,teacher_forced_accuracy,0,0.5059952038369304,0.46456644783705214,0.5456521739130434,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,opposite_label_image,generation_accuracy_all,0,0.48201438848920863,0.439715866566877,0.5238095238095238,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,opposite_label_image,generation_parse_rate,0,0.920863309352518,0.8977556109725686,0.9433002386877253,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,opposite_label_image,generation_accuracy_parseable,0,0.5234375,0.4773256129312215,0.5700012077294686,0.95,10000,image_id,decision,75,384
qwen,retained_behavior,opposite_label_image,teacher_forced_accuracy,1,0.4244604316546763,0.3781094527363184,0.46943359575209626,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,opposite_label_image,generation_accuracy_all,1,0.37170263788968827,0.328430464778504,0.4166666666666667,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,opposite_label_image,generation_parse_rate,1,0.8920863309352518,0.8623169920141971,0.9203752898272105,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,opposite_label_image,generation_accuracy_parseable,1,0.4166666666666667,0.3684210526315789,0.46524064171123,0.95,10000,image_id,decision,76,372
qwen,retained_behavior,prompt_only,teacher_forced_accuracy,all,0.5,0.4729887901106389,0.526908886681089,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,prompt_only,generation_accuracy_all,all,0.30815347721822545,0.2808713964884185,0.3352941176470588,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,prompt_only,generation_parse_rate,all,0.6163069544364509,0.5948168849422676,0.6379310344827587,0.95,10000,image_id,decision,77,834
qwen,retained_behavior,prompt_only,generation_accuracy_parseable,all,0.5,0.46153846153846156,0.5377176015473888,0.95,10000,image_id,decision,76,514
qwen,retained_behavior,prompt_only,teacher_forced_accuracy,0,0.8848920863309353,0.8596112311015118,0.9102244389027432,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,prompt_only,generation_accuracy_all,0,0.5995203836930456,0.5604382332643203,0.6392262872179287,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,prompt_only,generation_parse_rate,0,0.6163069544364509,0.579952105606975,0.6525821596244131,0.95,10000,image_id,decision,75,417
qwen,retained_behavior,prompt_only,generation_accuracy_parseable,0,0.9727626459143969,0.952,0.989247311827957,0.95,10000,image_id,decision,73,257
qwen,retained_behavior,prompt_only,teacher_forced_accuracy,1,0.11510791366906475,0.09024390243902439,0.14043583535108958,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,prompt_only,generation_accuracy_all,1,0.016786570743405275,0.005249343832020997,0.0297029702970297,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,prompt_only,generation_parse_rate,1,0.6163069544364509,0.5880893300248139,0.6452461154659541,0.95,10000,image_id,decision,76,417
qwen,retained_behavior,prompt_only,generation_accuracy_parseable,1,0.027237354085603113,0.010830324909747292,0.048582995951417005,0.95,10000,image_id,decision,75,257
