stage,primary,prevalence,shuffled_labels,random_projection,Δ primary − shuffled_labels,Δ primary − random_projection
vision.early,0.2304 ± 0.0046,0.0000 (n=1),0.2057 ± 0.0089,0.2328 ± 0.0068,0.0247 ± 0.0058,-0.0024 ± 0.0028
vision.middle,0.2106 ± 0.0035,0.0000 (n=1),0.1547 ± 0.0213,0.2605 ± 0.0060,0.0559 ± 0.0240,-0.0499 ± 0.0072
vision.late,0.3441 ± 0.0061,0.0000 (n=1),0.1657 ± 0.0030,0.3479 ± 0.0209,0.1784 ± 0.0079,-0.0038 ± 0.0249
vision.final,0.3538 ± 0.0086,0.0000 (n=1),0.1704 ± 0.0227,0.3317 ± 0.0079,0.1833 ± 0.0231,0.0220 ± 0.0120
projector.output,0.3632 ± 0.0043,0.0000 (n=1),0.1869 ± 0.0129,0.3601 ± 0.0109,0.1764 ± 0.0168,0.0031 ± 0.0074
llm.early,0.3662 ± 0.0048,0.0000 (n=1),0.1824 ± 0.0319,0.3429 ± 0.0126,0.1838 ± 0.0344,0.0233 ± 0.0097
llm.middle,0.3557 ± 0.0015,0.0000 (n=1),0.1698 ± 0.0187,0.3268 ± 0.0108,0.1860 ± 0.0202,0.0289 ± 0.0101
llm.late,0.3406 ± 0.0081,0.0000 (n=1),0.1849 ± 0.0173,0.3340 ± 0.0196,0.1557 ± 0.0235,0.0066 ± 0.0200
llm.final,0.3598 ± 0.0065,0.0000 (n=1),0.1883 ± 0.0006,0.3447 ± 0.0206,0.1715 ± 0.0067,0.0151 ± 0.0216
