stage,pooling,control,seed,macro_auroc,macro_f1,evaluable_auroc_attributes,evaluable_f1_attributes,selected_attributes,feature_dim,train_examples,validation_examples
llm.middle,mean,random_projection,2,0.6449021700935161,0.319501507155687,26,26,26,256,160,80
llm.late,mean,primary,0,0.6605428004842544,0.3482280319312609,26,26,26,4096,160,80
llm.late,mean,primary,1,0.6602988330492743,0.34143129029558605,26,26,26,4096,160,80
llm.late,mean,primary,2,0.6614220916172543,0.33215050706349897,26,26,26,4096,160,80
llm.late,mean,prevalence,-1,0.5,0.0,26,26,26,4096,160,80
llm.late,mean,shuffled_labels,0,0.4854778783417314,0.16537947049192053,26,26,26,4096,160,80
llm.late,mean,shuffled_labels,1,0.5178587496490031,0.19822652959187412,26,26,26,4096,160,80
llm.late,mean,shuffled_labels,2,0.502763096293441,0.19103736690429,26,26,26,4096,160,80
llm.late,mean,random_projection,0,0.6518331379243213,0.3239243994452537,26,26,26,256,160,80
llm.late,mean,random_projection,1,0.6555294280231911,0.35653119612937345,26,26,26,256,160,80
llm.late,mean,random_projection,2,0.6588167658404198,0.32148899507861434,26,26,26,256,160,80
llm.final,mean,primary,0,0.6682083416427821,0.36388274654778097,26,26,26,4096,160,80
llm.final,mean,primary,1,0.6672791945785433,0.36312060536322344,26,26,26,4096,160,80
llm.final,mean,primary,2,0.6659124780531509,0.3523294120587192,26,26,26,4096,160,80
llm.final,mean,prevalence,-1,0.5,0.0,26,26,26,4096,160,80
llm.final,mean,shuffled_labels,0,0.492325210622113,0.187582104429912,26,26,26,4096,160,80
llm.final,mean,shuffled_labels,1,0.5312193344838175,0.18878060249670423,26,26,26,4096,160,80
llm.final,mean,shuffled_labels,2,0.49375864350244936,0.1884531250277108,26,26,26,4096,160,80
llm.final,mean,random_projection,0,0.648190749971055,0.32480524868152283,26,26,26,256,160,80
llm.final,mean,random_projection,1,0.674863041273712,0.36592360276937796,26,26,26,256,160,80
llm.final,mean,random_projection,2,0.6489768632830224,0.3434225694922134,26,26,26,256,160,80
