stage,pooling,control,seed,attribute_id,attribute_name,attribute_group,train_observed,train_positive,train_negative,train_prevalence,validation_observed,validation_positive,validation_negative,threshold_selected_on_train,auroc,f1,train_loss
vision.early,mean,primary,0,2,has_bill_shape::dagger,has_bill_shape,160,14,146,0.08749999850988388,76,4,72,11.23718547821045,0.6354166666666666,0.25,0.011983671225607395
vision.early,mean,primary,0,5,has_bill_shape::hooked_seabird,has_bill_shape,160,15,145,0.09375,76,3,73,5.154284477233887,0.5342465753424658,0.0,0.011983671225607395
vision.early,mean,primary,0,7,has_bill_shape::all-purpose,has_bill_shape,160,66,94,0.4124999940395355,76,34,42,4.4353556632995605,0.5042016806722689,0.27450980392156865,0.011983671225607395
vision.early,mean,primary,0,8,has_bill_shape::cone,has_bill_shape,160,44,116,0.2750000059604645,76,21,55,4.550710201263428,0.5177489177489177,0.25,0.011983671225607395
vision.early,mean,primary,0,96,has_head_pattern::malar,has_head_pattern,156,16,140,0.10256410390138626,76,10,66,7.983119964599609,0.45606060606060606,0.0,0.011983671225607395
vision.early,mean,primary,0,100,has_head_pattern::eyebrow,has_head_pattern,156,30,126,0.19230769574642181,76,14,62,4.884578704833984,0.554147465437788,0.20689655172413793,0.011983671225607395
vision.early,mean,primary,0,101,has_head_pattern::eyering,has_head_pattern,156,25,131,0.16025641560554504,76,16,60,6.120003700256348,0.434375,0.21621621621621623,0.011983671225607395
vision.early,mean,primary,0,102,has_head_pattern::plain,has_head_pattern,156,37,119,0.2371794879436493,76,13,63,4.691277027130127,0.6581196581196581,0.42424242424242425,0.011983671225607395
vision.early,mean,primary,0,103,has_head_pattern::eyeline,has_head_pattern,156,18,138,0.11538461595773697,76,7,69,5.018293857574463,0.4306418219461698,0.14285714285714285,0.011983671225607395
vision.early,mean,primary,0,104,has_head_pattern::striped,has_head_pattern,156,15,141,0.09615384787321091,76,14,62,8.556011199951172,0.5610599078341014,0.16666666666666666,0.011983671225607395
vision.early,mean,primary,0,105,has_head_pattern::capped,has_head_pattern,156,16,140,0.10256410390138626,76,9,67,4.165679931640625,0.4626865671641791,0.16,0.011983671225607395
vision.early,mean,primary,0,107,has_breast_color::brown,has_breast_color,145,29,116,0.20000000298023224,75,14,61,5.1359734535217285,0.5913348946135831,0.22857142857142856,0.011983671225607395
vision.early,mean,primary,0,111,has_breast_color::grey,has_breast_color,145,40,105,0.27586206793785095,75,19,56,4.6372575759887695,0.525375939849624,0.2,0.011983671225607395
vision.early,mean,primary,0,117,has_breast_color::black,has_breast_color,145,50,95,0.3448275923728943,75,30,45,4.550559997558594,0.5348148148148149,0.35555555555555557,0.011983671225607395
vision.early,mean,primary,0,118,has_breast_color::white,has_breast_color,145,51,94,0.35172414779663086,75,41,34,3.9315433502197266,0.5494978479196556,0.3018867924528302,0.011983671225607395
